DOI,Composition,Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
10.1016/j.jcis.2018.06.096,Pt,0,1,7.2,3.76,2871,3.53,7.4,20,79.3
10.1016/j.jcis.2018.06.096,Pt,0,1,7.2,3.76,2871,3.53,7.4,40,102
10.1016/j.jcis.2018.06.096,Pt,0,1,7.2,3.76,2871,3.53,7.4,50,112
10.1016/j.jcat.2018.11.006,Pt,0,1,2.3,2.1,660,0,0.3,10,33.2
10.1016/j.jcat.2018.11.006,Pt,0,1,2.3,2.1,660,0,0.3,20,43.5
10.1016/j.jcat.2018.11.006,Pt,0,1,2.3,2.1,660,0,0.3,40,56.3
10.1016/j.jcat.2018.11.006,Pt,0,1,2.3,2.1,660,0,0.3,50,61.2
10.1016/j.jcat.2018.11.006,Pt,0,1,2.3,2.1,660,0,0.3,60,64.8
10.1016/j.jcat.2018.11.006,Pt,0,1,2.3,2.1,660,0,0.3,100,78
10.1016/j.jcat.2017.08.005,Pt,0,1,10,3.5,254,0,0.3,10,31.7
10.1016/j.jcat.2017.08.005,Pt,0,1,10,3.5,254,0,0.3,20,44.9
10.1016/j.jcat.2017.08.005,Pt,0,1,10,3.5,254,0,0.3,40,68.6
10.1016/j.jcat.2017.08.005,Pt,0,1,10,3.5,254,0,0.3,50,78.2
10.1016/j.jcat.2017.08.005,Pt,0,1,10,3.5,254,0,0.3,60,88.5
10.1016/j.jcat.2017.08.005,Pt,0,1,2.7,2.1,883,0,0.3,10,37.1
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,200,305
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,150,285
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,100,259
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,80,244
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,60,224
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,50,212
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,40,196
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,20,149
10.1016/j.jallcom.2020.153784,CoNi,1,0,91.4,20,83.5,0,14,10,104
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,200,423
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,150,414
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,100,398
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,80,387
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,60,372
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,50,361
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,40,347
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,20,292
10.1016/j.jallcom.2020.153784,Co,0,0,86.8,20,22.9,0,14,10,206
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,200,315
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,150,291
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,100,257
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,80,243
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,60,224
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,50,211
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,40,195
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,20,147
10.1016/j.jallcom.2020.153784,Ni,0,0,85,20,62.8,0,14,10,110
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,200,242
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,150,220
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,100,195
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,80,183
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,60,169
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,50,161
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,40,152
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,20,126
10.1016/j.jallcom.2019.03.330,CoNi,1,0,63.33,30,30.3,10.06,14,10,100
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,100,231
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,80,193
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,60,150
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,50,130
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,40,108
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,20,65
10.1016/j.ijhydene.2021.06.193,SnPtCo,1,1,10,15,79.01,0,14,10,39
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,100,262
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,80,225
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,60,186
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,50,165
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,40,145
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,20,100
10.1016/j.ijhydene.2021.06.193,SnCo,1,0,10,5,50.66,0,14,10,74
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,100,308
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,80,272
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,60,230
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,50,209
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,40,188
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,20,142
10.1016/j.ijhydene.2021.06.193,Co,0,0,10,4,47.4,0,14,10,114
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.8,4.3,27.2,0,0.3,10,39.5
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.8,4.3,27.2,0,0.3,20,49.3
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.8,4.3,27.2,0,0.3,40,64.5
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.8,4.3,27.2,0,0.3,50,70.4
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.8,4.3,27.2,0,0.3,60,76.3
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.8,4.3,27.2,0,0.3,100,96.9
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.7,4.3,57.8,6,0.3,10,22
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.7,4.3,57.8,6,0.3,20,25.4
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.7,4.3,57.8,6,0.3,40,31.3
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.7,4.3,57.8,6,0.3,50,33.8
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.7,4.3,57.8,6,0.3,60,36.3
10.1016/j.ijhydene.2019.10.036,Pt,0,1,5.7,4.3,57.8,6,0.3,100,45.2
10.1016/j.ijhydene.2017.11.048,AuNi,1,0,51.4,17.2,233.47,0,0.3,20,63
10.1016/j.ijhydene.2017.11.048,AuNi,1,0,51.4,17.2,233.47,0,0.3,10,50
10.1016/j.ijhydene.2017.11.048,AuNi,1,0,61.2,16,240.05,0,0.3,20,55
10.1016/j.ijhydene.2017.11.048,AuNi,1,0,61.2,16,240.05,0,0.3,10,40
10.1016/j.ijhydene.2017.11.048,AuNi,1,0,27.1,14.5,234.02,0,0.3,20,82
10.1016/j.ijhydene.2017.11.048,AuNi,1,0,27.1,14.5,234.02,0,0.3,10,70
10.1016/j.ijhydene.2017.11.048,Au,0,0,11.4,13,44.98,0,0.3,20,286
10.1016/j.ijhydene.2017.11.048,Au,0,0,11.4,13,44.98,0,0.3,10,220
10.1016/j.ijhydene.2017.11.048,Ni,0,0,7.1,6.6,268.29,0,0.3,20,189
10.1016/j.ijhydene.2017.11.048,Ni,0,0,7.1,6.6,268.29,0,0.3,10,158
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,40,361
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,100,314
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,80,301
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,60,283
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,50,273
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,20,228
10.1016/j.electacta.2021.138785,NiFe,1,0,12.5,15,373,8.1,14,10,198
10.1016/j.electacta.2020.135855,PtPd,1,1,4.24,2.75,1054.7,0.89,14,20,102
10.1016/j.electacta.2020.135855,PtPd,1,1,4.24,2.75,1054.7,0.89,14,10,67
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,0.3,50,101
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,0.3,40,95
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,0.3,20,76.32
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,13,50,67
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,0.3,10,63
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,13,40,52
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,13,20,33.8
10.1016/j.electacta.2019.134895,NiPt,1,1,27.91,20,110.1,15.94,13,10,27
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,13,10,26.7
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,13,20,34
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,13,40,53.5
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,13,50,67.3
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,0.3,10,65
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,0.3,20,76.9
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,0.3,40,93.3
10.1016/j.electacta.2019.134895,PtNi,1,1,27.91,19,110.1,13.4,0.3,50,102
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,0.3,50,862
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,0.3,40,812
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,0.3,20,709.8
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,0.3,10,589
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,13,50,479
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,13,40,422
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,13,20,327
10.1016/j.electacta.2019.134895,Ni,0,0,55.61,20,91.98,2.15,13,10,260
10.1016/j.electacta.2019.06.116,Pt,0,1,1.26,4.2,604.94,0,14,10,42
10.1016/j.electacta.2019.06.116,Pt,0,1,1.26,4.2,604.94,0,14,20,61
10.1016/j.electacta.2019.06.116,Pt,0,1,1.26,4.2,604.94,0,14,40,86
10.1016/j.electacta.2019.06.116,Pt,0,1,1.26,4.2,604.94,0,14,50,97
10.1016/j.electacta.2019.06.116,Pt,0,1,1.26,4.2,604.94,0,14,60,105
10.1016/j.electacta.2019.06.116,Pt,0,1,1.26,4.2,604.94,0,14,100,137
10.1016/j.electacta.2019.06.116,Pt,0,1,2.17,4,604.94,0,14,10,65
10.1016/j.electacta.2019.06.116,Pt,0,1,2.17,4,604.94,0,14,20,95
10.1016/j.electacta.2019.06.116,Pt,0,1,2.17,4,604.94,0,14,40,137
10.1016/j.electacta.2019.06.116,Pt,0,1,2.17,4,604.94,0,14,50,156
10.1016/j.electacta.2019.06.116,Pt,0,1,2.17,4,604.94,0,14,60,170
10.1016/j.electacta.2019.06.116,Pt,0,1,2.17,4,604.94,0,14,100,217
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,100,66
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,80,49
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,60,41
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,50,36
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,40,33
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,20,27.5
10.1016/j.electacta.2019.03.179,IrCo,1,0,45.2,30,184.92,3.58,0.3,10,24
10.1016/j.cej.2021.131085,PtRu,1,1,27,1.9,161,32.34,13,50,124
10.1016/j.cej.2021.131085,PtRu,1,1,27,1.9,161,32.34,13,40,111
10.1016/j.cej.2021.131085,PtRu,1,1,27,1.9,161,32.34,0.3,20,82
10.1016/j.cej.2021.131085,PtRu,1,1,27,1.9,161,32.34,13,20,81
10.1016/j.cej.2021.131085,PtRu,1,1,27,1.9,161,32.34,13,10,61
10.1016/j.cej.2021.131085,PtRu,1,1,27,1.9,161,32.34,0.3,10,53
10.1016/j.cej.2021.130749,CuPt,1,1,4.42,5,1715,2.9,13,10,46
10.1016/j.cej.2021.130749,CuPt,1,1,3.5,5,1715,2.08,13,10,224
10.1016/j.cej.2021.130749,Pt,0,1,3.24,5,1715,1.23,13,10,80
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,14,80,248
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,14,60,212
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,14,50,193
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,0.3,80,175
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,14,40,171
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,0.3,60,144
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,0.3,50,125
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,14,20,123
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,0.3,40,105
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,14,10,93
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,0.3,20,61
10.1016/j.cej.2021.129319,RuNi,1,0,2.17,2.5,1.03,0,0.3,10,34
10.1016/j.cej.2020.128205,PtEr,1,1,8.28,5,323,0,14,100,92.7
10.1016/j.cej.2020.128205,PtEr,1,1,8.28,5,323,0,14,10,16
10.1016/j.cej.2020.128205,PtEr,1,1,7.49,5,287,4.69,14,100,50
10.1016/j.cej.2020.128205,PtEr,1,1,7.49,5,287,4.69,14,10,7
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,7.4,40,200
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,100,170
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,80,161
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,7.4,20,150
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,60,148
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,50,141
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,40,133
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,100,128
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,80,116
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,20,108
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,7.4,10,101
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,60,100
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,50,90
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,0.3,10,85
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,40,79
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,20,48
10.1016/j.cej.2020.128047,CoRu,1,0,6.84,3.5,716.3,0,14,10,23
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,100,116
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,80,109
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,100,101
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,60,100
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,50,94
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,80,91
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,40,87
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,7.4,40,86
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,60,76
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,50,69
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,20,67
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,40,59
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,7.4,20,57
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,0.3,10,44
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,7.4,10,39
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,20,34
10.1016/j.cej.2020.128047,CoRu,1,0,4.43,3.5,716.3,0,14,10,14
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,0.3,80,176
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,7.4,60,174
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,0.3,60,164
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,7.4,50,162
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,0.3,50,157
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,100,152
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,7.4,40,148
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,0.3,40,148
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,80,138
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,60,124
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,0.3,20,120
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,50,114
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,7.4,20,107
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,40,104
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,0.3,10,93
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,20,71
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,7.4,10,68
10.1016/j.cej.2020.128047,CoRu,1,0,2.05,3.5,716.3,0,14,10,43
10.1016/j.cej.2020.128047,Ru,0,0,1.01,3,647.6,0,7.4,20,185
10.1016/j.cej.2020.128047,Ru,0,0,1.01,3,647.6,0,0.3,100,141
10.1016/j.cej.2020.128047,Ru,0,0,1.01,3,647.6,0,0.3,80,133
